Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
53,Singapore,88.9,98.0,83.5,70.9,87.8,20.9,42.1,37.7,-71.5,2016/2
54,Egypt,88.4,37.1,43.5,46.6,32.6,10.8,51.0,92.8,75.6,2016/2
55,Russia,86.5,52.6,52.6,55.4,35.6,13.3,48.4,64.5,9.2,2016/2
56,Ukraine,84.1,27.5,50.6,48.1,27.0,25.8,39.5,68.6,50.5,2016/2
57,Indonesia,66.4,33.7,50.5,65.4,38.4,18.6,47.3,76.2,4.4,2016/2
58,Philippines,60.0,38.4,61.0,68.8,35.3,17.4,44.6,71.6,-37.7,2016/2
59,Malaysia,57.4,83.1,34.4,65.8,42.2,9.4,39.3,67.6,-73.7,2016/2
60,Thailand,49.5,37.2,47.8,79.8,42.0,24.1,43.4,72.8,-36.9,2016/2
61,Vietnam,31.5,24.1,46.5,42.3,39.1,28.9,33.8,88.4,-11.6,2016/2
1,Austria,190.4,95.7,80.8,80.9,71.5,9.7,26.3,21.9,62.1,2017
2,Germany,189.7,124.9,68.0,76.7,65.5,7.5,30.6,27.1,58.0,2017
3,Denmark,184.9,98.8,78.9,75.4,83.0,8.2,28.4,26.0,64.2,2017
4,New Zealand,184.7,89.9,61.2,70.6,80.8,8.1,30.2,20.0,85.4,2017
5,Spain,183.6,87.9,68.7,76.7,55.0,8.3,32.6,37.5,88.0,2017
6,Finland,182.9,115.0,75.4,74.8,73.1,7.6,34.9,13.4,35.8,2017
7,United States,179.7,123.2,51.2,68.2,75.4,3.3,34.6,31.2,67.9,2017
8,Portugal,178.4,62.7,64.6,70.3,49.2,8.9,30.4,28.9,92.2,2017
9,Australia,176.5,101.9,57.6,74.2,80.7,9.2,34.7,24.6,72.8,2017
10,Slovenia,175.5,78.2,75.9,64.4,53.2,8.3,26.5,26.4,60.5,2017
11,Netherlands,175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9,2017
12,Switzerland,173.5,95.3,77.6,71.0,122.1,14.0,28.3,20.8,69.3,2017
13,United Kingdom,172.9,96.9,58.8,74.3,69.5,10.0,34.6,34.9,78.9,2017
14,Sweden,172.7,107.2,53.4,70.6,75.9,11.8,31.6,17.9,59.1,2017
15,Estonia,171.1,68.5,77.0,71.3,49.5,10.5,26.7,17.7,44.6,2017
16,Croatia,170.6,60.7,72.2,65.5,48.0,10.9,28.5,33.3,82.0,2017
17,Canada,167.2,108.0,60.8,69.2,70.2,6.4,36.2,26.5,44.3,2017
18,Ireland,166.9,103.5,54.2,53.3,77.0,7.0,35.0,27.2,70.2,2017
19,Cyprus,166.6,95.9,67.5,54.2,54.1,5.2,20.3,54.8,71.0,2017
20,Norway,165.9,105.6,54.3,74.2,106.3,7.9,31.3,19.5,49.3,2017
21,Czech Republic,165.4,76.2,69.8,74.1,41.2,10.7,32.0,41.0,65.3,2017
22,South Korea,162.5,102.4,74.7,83.2,75.4,12.4,34.2,52.7,61.2,2017
23,Belgium,160.5,91.0,55.5,78.9,75.4,7.0,36.3,48.9,75.2,2017
24,France,160.3,87.3,56.3,78.6,74.9,11.6,35.8,40.2,73.9,2017
25,Israel,157.9,94.5,71.0,74.8,77.7,10.9,36.5,61.7,81.0,2017
26,Slovakia,152.5,64.7,69.8,62.6,44.9,9.9,36.0,43.5,65.1,2017
27,Poland,150.2,71.8,68.5,61.5,38.1,10.1,34.6,50.3,62.5,2017
28,Taiwan,150.1,118.6,82.8,81.1,61.4,12.9,32.7,62.9,24.5,2017
29,Greece,148.3,58.2,59.7,53.9,55.9,8.3,31.6,52.0,87.3,2017
30,Japan,147.5,102.5,79.1,78.6,85.3,12.7,46.8,41.0,31.9,2017
31,Saudi Arabia,146.4,138.1,76.4,60.4,48.4,2.8,36.3,74.2,18.0,2017
32,South Africa,144.7,99.0,24.3,61.7,43.1,3.6,43.0,63.6,88.7,2017
33,Romania,143.0,53.4,72.1,53.1,35.6,10.8,32.0,50.9,64.5,2017
34,Italy,142.5,71.8,55.3,66.3,83.7,12.4,36.4,51.6,82.6,2017
35,Argentina,139.6,58.4,37.4,73.3,52.6,12.1,37.9,53.3,90.7,2017
36,United Arab Emirates,139.3,116.8,79.3,60.5,68.0,5.6,35.1,58.5,8.9,2017
37,Bosnia And Herzegovina,139.1,51.3,59.0,61.5,35.0,11.3,26.6,60.7,73.3,2017
38,Hungary,138.8,47.5,61.6,53.5,42.8,11.2,33.1,44.0,66.5,2017
39,Bulgaria,138.2,51.4,59.8,54.0,36.5,9.1,27.9,63.1,77.1,2017
40,Chile,136.2,61.3,52.5,61.0,50.1,10.7,35.7,67.7,89.4,2017
41,Serbia,133.4,40.8,61.4,53.9,33.8,17.9,29.9,55.3,82.7,2017
42,Qatar,132.4,111.3,84.3,66.1,69.2,6.2,33.0,73.3,9.3,2017
43,Lithuania,130.3,51.7,60.0,68.7,46.7,14.2,28.0,34.3,25.0,2017
44,Turkey,129.6,55.6,58.9,71.7,38.6,8.9,47.6,70.5,73.2,2017
45,Mexico,129.1,60.1,49.7,70.1,29.8,6.9,41.7,66.7,60.7,2017
46,Belarus,119.2,36.4,77.7,53.8,33.8,18.7,27.7,39.6,20.1,2017
47,Jordan,117.5,42.3,56.9,71.9,59.2,8.0,47.8,85.7,88.4,2017
48,North Macedonia,116.4,39.8,61.3,63.5,30.9,14.7,33.8,83.4,75.5,2017
49,Colombia,115.4,37.6,48.3,65.8,34.4,19.4,43.8,63.9,81.3,2017
50,Lebanon,106.2,53.6,50.8,64.3,61.7,13.9,36.1,85.1,69.4,2017
51,India,101.5,76.7,56.0,69.2,25.1,10.3,46.4,76.5,9.3,2017
52,Iran,97.2,43.2,49.1,51.6,38.3,13.5,49.7,82.5,71.5,2017
53,Brazil,96.2,42.4,29.4,51.7,53.1,17.0,46.4,61.2,70.8,2017
54,Hong Kong,94.5,81.5,79.3,68.0,80.0,36.1,42.2,69.9,29.7,2017
55,Pakistan,93.4,39.9,45.6,59.0,27.2,12.1,38.7,80.1,42.5,2017
56,Egypt,91.8,29.4,47.1,43.7,22.4,10.7,48.8,88.9,75.6,2017
57,China,91.0,67.8,66.1,62.2,44.8,23.3,43.9,89.0,38.7,2017
58,Sri Lanka,89.0,30.3,65.4,80.0,33.5,17.5,47.2,61.9,2.4,2017
59,Ukraine,87.5,26.9,48.7,49.8,26.2,22.9,39.2,67.3,49.9,2017
60,Singapore,86.5,92.7,83.4,69.9,82.4,21.6,43.4,37.0,-71.5,2017
61,Russia,85.9,48.3,53.9,56.4,42.0,13.5,48.6,63.0,10.7,2017
62,Indonesia,62.0,27.6,50.3,64.8,41.1,21.0,49.4,76.4,9.6,2017
63,Thailand,57.2,34.3,50.2,80.7,43.7,24.4,43.6,73.2,-20.2,2017
64,Philippines,56.9,36.0,60.2,69.2,34.7,16.9,45.1,70.2,-44.1,2017
65,Malaysia,51.6,73.3,35.2,66.0,40.2,9.5,39.4,67.1,-79.4,2017
66,Vietnam,36.1,24.8,47.0,47.9,40.1,26.8,33.0,88.1,-12.9,2017
67,Venezuela,0.0,3.3,14.7,36.9,38.3,202.1,46.2,72.9,91.2,2017
1,Denmark,180.1,98.7,78.5,76.2,93.3,7.3,28.6,24.2,82.0,2017/2
2,Finland,179.4,101.9,76.8,74.6,81.2,7.6,33.9,12.6,58.8,2017/2
3,Germany,178.9,107.9,67.4,76.0,73.2,7.8,30.7,27.2,82.8,2017/2
4,Austria,178.5,87.1,80.9,79.5,79.0,9.5,27.1,23.5,77.7,2017/2
5,Netherlands,177.8,94.2,71.1,82.2,79.6,6.7,32.8,27.3,86.8,2017/2
6,Switzerland,172.9,114.6,78.4,71.7,138.2,10.4,28.9,22.4,79.6,2017/2
7,New Zealand,172.5,89.6,60.8,71.6,87.5,7.0,33.6,19.8,96.1,2017/2
8,Australia,172.4,107.8,58.0,75.4,86.0,7.6,35.7,24.9,87.9,2017/2
9,United States,167.5,114.7,51.5,68.5,77.2,3.1,34.8,31.4,76.1,2017/2
10,Slovenia,166.1,68.7,75.3,65.2,58.3,8.2,26.5,26.0,76.1,2017/2
11,Spain,165.7,78.2,70.0,76.3,60.6,7.9,32.1,38.4,91.6,2017/2
12,Sweden,159.9,94.8,50.7,70.6,83.3,11.6,30.2,19.2,73.7,2017/2
13,Portugal,159.6,55.8,65.1,69.7,54.6,9.2,31.1,29.8,97.3,2017/2
14,Norway,158.9,92.2,55.0,75.0,112.8,8.6,30.6,19.5,71.9,2017/2
15,Canada,158.2,98.5,60.9,69.8,72.8,6.4,36.0,27.7,53.6,2017/2
16,United Kingdom,156.8,92.5,59.0,74.3,76.0,11.1,35.5,36.9,87.7,2017/2
17,Japan,155.8,92.5,80.5,81.3,89.5,13.3,45.2,41.0,81.4,2017/2
18,Croatia,155.1,53.7,71.9,65.1,54.0,10.8,29.4,31.7,87.2,2017/2
19,France,154.4,89.4,55.2,78.4,81.2,9.3,34.8,41.0,89.9,2017/2
20,Czech Republic,153.7,65.8,70.8,75.5,47.7,11.4,31.3,41.4,78.1,2017/2
21,Ireland,152.1,87.3,55.2,53.1,84.9,7.1,37.0,28.3,89.5,2017/2
22,Taiwan,150.0,94.9,81.7,82.8,66.8,13.8,35.8,62.9,75.2,2017/2
23,Belgium,147.5,80.4,57.7,79.8,82.2,7.2,34.7,49.8,86.4,2017/2
24,Slovakia,144.5,57.9,69.5,63.2,49.4,9.7,33.7,42.0,77.5,2017/2
25,South Korea,142.7,89.7,70.6,82.5,81.1,14.3,36.0,52.5,65.9,2017/2
26,Israel,142.5,92.3,70.5,75.0,88.6,13.4,35.5,61.1,89.8,2017/2
27,Poland,141.3,64.8,69.8,62.3,43.5,9.8,34.1,51.1,75.6,2017/2
28,United Arab Emirates,140.6,106.1,80.7,63.3,70.1,5.2,37.2,56.4,23.8,2017/2
29,Saudi Arabia,139.9,119.4,72.9,60.3,50.2,2.8,35.0,73.1,32.0,2017/2
30,Lithuania,138.4,48.5,60.9,66.3,51.9,13.8,27.0,33.9,66.8,2017/2
31,Romania,138.2,57.4,71.5,53.8,38.7,8.8,32.5,51.2,74.6,2017/2
32,Singapore,134.5,88.1,83.1,68.5,88.1,22.2,45.4,34.8,48.0,2017/2
33,Italy,132.6,68.1,55.4,66.7,77.4,10.4,36.2,52.3,89.6,2017/2
34,Greece,131.1,49.7,60.6,54.6,61.3,8.5,31.0,52.4,91.0,2017/2
35,South Africa,126.4,85.9,24.6,62.6,46.5,3.6,43.0,62.5,92.5,2017/2
36,Hungary,125.8,41.5,61.8,52.3,47.2,12.4,33.5,45.2,78.2,2017/2
37,Bulgaria,122.9,46.6,60.0,52.7,40.2,8.8,29.1,62.6,78.8,2017/2
38,Mexico,120.7,51.4,49.4,69.8,36.3,7.0,39.8,66.5,78.4,2017/2
39,Argentina,119.7,50.8,36.5,72.2,56.8,11.8,38.9,55.1,94.6,2017/2
40,Turkey,118.3,47.8,59.0,70.8,44.4,9.4,46.2,70.1,88.6,2017/2
41,Chile,116.4,49.6,55.4,61.8,53.3,12.4,36.1,67.2,90.1,2017/2
42,Serbia,116.4,36.1,61.2,53.1,37.4,18.0,29.3,55.7,82.1,2017/2
43,India,110.4,67.1,55.5,67.5,27.5,9.9,46.6,76.6,55.6,2017/2
44,Malaysia,104.1,64.4,36.4,65.7,43.3,9.5,37.1,65.2,42.2,2017/2
45,Indonesia,103.8,32.6,56.2,68.2,42.3,13.0,41.7,58.0,49.3,2017/2
46,Colombia,103.6,33.0,48.7,66.8,34.3,18.3,47.1,64.6,93.3,2017/2
47,Hong Kong,99.2,74.0,79.9,65.2,79.2,38.6,41.3,68.5,72.8,2017/2
48,Pakistan,94.2,35.9,46.7,56.9,27.6,11.8,40.1,77.9,69.3,2017/2
49,Philippines,92.9,31.9,60.0,68.5,36.5,17.2,43.4,71.3,49.6,2017/2
50,Russia,91.7,45.2,54.3,56.1,44.5,12.4,49.5,63.8,38.0,2017/2
51,China,91.3,62.2,67.5,61.6,45.8,27.4,43.4,86.8,72.5,2017/2
52,Brazil,89.6,36.5,29.6,52.4,53.1,17.0,46.2,60.1,90.2,2017/2
53,Ukraine,87.6,25.2,49.6,49.3,29.2,19.9,38.5,67.6,69.2,2017/2
54,Iran,85.0,39.3,50.2,51.8,38.2,12.9,50.2,80.8,69.0,2017/2
55,Thailand,82.0,28.6,51.1,80.6,47.2,26.0,41.1,72.8,51.8,2017/2
56,Egypt,78.5,23.2,46.7,42.9,25.4,11.7,47.6,89.1,85.8,2017/2
1,Denmark,197.7,117.5,78.0,77.1,93.3,7.2,28.5,23.6,82.4,2018
2,Finland,195.3,119.4,76.3,75.4,81.7,7.5,33.2,12.1,58.6,2018
3,Netherlands,191.3,109.5,71.1,81.1,82.7,6.7,32.7,27.2,86.9,2018
4,Switzerland,190.8,126.1,78.2,71.7,131.4,10.9,29.3,23.0,79.8,2018
5,Austria,190.2,98.7,79.6,78.8,81.5,9.6,27.0,22.9,77.7,2018
6,Germany,190.0,125.0,63.3,75.4,74.3,8.0,31.3,27.3,82.5,2018
7,Australia,188.7,123.0,57.5,76.2,84.3,7.4,36.3,24.8,92.4,2018
8,New Zealand,182.4,98.6,60.8,72.0,83.4,8.2,34.5,21.8,96.1,2018
9,United States,180.6,127.6,50.4,68.4,73.0,3.3,34.7,31.7,78.2,2018
10,Sweden,176.8,113.0,50.7,70.4,83.7,10.5,30.7,19.1,75.1,2018
11,Estonia,176.4,74.8,79.2,71.3,57.6,9.2,32.7,17.2,63.6,2018
12,Norway,176.3,108.0,56.7,74.7,113.7,8.7,31.0,20.2,71.9,2018
13,Japan,176.0,107.4,86.9,81.7,86.6,12.6,44.5,41.7,84.8,2018
14,Slovenia,175.4,80.3,75.3,64.7,59.6,8.4,27.8,26.2,76.3,2018
15,Spain,174.9,90.7,63.3,77.5,61.8,8.0,31.4,38.1,93.9,2018
16,Canada,173.9,118.9,60.7,70.6,72.5,6.1,36.1,27.7,52.8,2018
17,United Kingdom,171.9,108.5,58.8,74.2,75.8,9.3,35.8,37.7,87.9,2018
18,Portugal,166.7,62.0,65.5,69.5,55.9,10.0,30.3,30.5,97.4,2018
19,France,166.2,101.2,54.7,78.0,83.9,9.9,35.0,40.4,89.8,2018
20,Belgium,164.0,98.9,57.8,80.4,83.3,7.1,34.6,48.9,86.1,2018
21,United Arab Emirates,163.5,124.8,81.3,63.5,67.2,4.9,37.5,55.8,45.4,2018
22,Ireland,163.5,96.1,56.2,53.0,85.4,7.6,37.5,28.7,89.4,2018
23,Taiwan,163.3,106.4,79.3,82.0,65.4,14.4,33.1,63.2,83.8,2018
24,Croatia,162.4,59.8,73.0,63.8,55.1,11.1,29.5,32.7,88.8,2018
25,Czech Republic,162.0,76.3,71.2,75.4,50.1,12.7,30.3,41.0,77.9,2018
26,Qatar,159.6,125.0,84.3,70.5,65.4,5.1,34.8,70.2,45.5,2018
27,South Korea,155.4,109.4,64.2,83.4,82.9,14.0,37.2,52.9,67.2,2018
28,Slovakia,155.4,67.3,69.8,64.4,50.4,9.9,32.2,40.7,77.7,2018
29,Israel,152.2,102.3,63.1,74.1,86.5,13.9,36.7,60.3,93.6,2018
30,Singapore,150.5,95.9,83.8,69.6,91.4,22.2,46.0,33.9,58.0,2018
31,Saudi Arabia,149.6,131.5,63.3,60.2,47.9,2.8,34.0,71.7,41.0,2018
32,Lithuania,149.0,57.3,62.4,66.8,53.2,13.0,28.7,33.1,68.8,2018
33,Poland,146.6,74.4,63.8,62.1,45.2,9.8,33.6,51.1,75.8,2018
34,Italy,146.1,81.1,55.5,68.0,79.1,9.9,37.0,53.1,91.4,2018
35,Romania,144.0,66.2,71.0,54.6,39.7,9.1,33.4,53.0,76.2,2018
36,South Africa,137.9,99.8,24.3,63.0,48.1,3.5,43.3,62.2,96.0,2018
37,Greece,137.4,53.8,60.9,54.2,63.2,9.5,32.2,52.8,92.6,2018
38,Hungary,132.3,50.6,63.5,51.1,48.6,13.3,34.1,46.6,78.5,2018
39,Argentina,131.8,60.2,38.2,71.3,53.7,10.7,41.6,53.6,98.2,2018
40,Bulgaria,129.7,54.4,60.3,52.1,41.2,8.6,31.1,63.0,81.6,2018
41,Bosnia And Herzegovina,129.3,52.4,59.9,55.9,39.3,11.6,27.5,61.6,78.9,2018
42,Turkey,127.6,53.8,58.9,70.4,41.8,8.9,46.3,69.4,93.2,2018
43,Mexico,126.4,58.2,48.9,68.6,33.6,7.8,42.0,66.1,82.5,2018
44,Serbia,123.5,41.8,62.2,53.4,39.6,17.2,28.9,56.6,82.9,2018
45,Chile,122.7,54.5,53.5,61.9,55.2,13.1,35.1,66.8,90.2,2018
46,India,122.1,79.3,55.8,67.4,26.9,9.7,46.8,75.9,65.7,2018
47,Malaysia,116.0,73.0,36.9,65.6,44.7,9.6,37.6,66.5,58.1,2018
48,Indonesia,112.9,37.5,55.3,66.0,39.7,13.1,42.7,60.7,68.2,2018
49,Colombia,112.1,38.6,49.3,67.8,35.3,18.1,48.1,62.5,96.7,2018
50,Hong Kong,110.3,82.9,79.1,63.8,78.7,41.1,41.3,69.4,83.6,2018
51,Russia,103.3,51.1,54.8,56.8,43.9,11.4,48.3,63.3,44.7,2018
52,Thailand,101.2,38.6,52.7,80.9,48.9,22.8,39.2,72.9,68.6,2018
53,Pakistan,100.3,41.1,48.8,57.5,25.1,12.5,41.6,77.5,71.9,2018
54,Brazil,100.1,41.6,29.4,52.7,51.3,16.3,45.3,59.5,94.2,2018
55,China,99.4,72.3,60.6,62.9,44.6,28.2,42.5,85.9,78.8,2018
56,Philippines,99.1,34.0,59.9,68.2,36.0,17.8,44.2,72.5,60.6,2018
57,Ukraine,96.0,30.2,50.6,50.1,26.0,18.2,38.5,67.2,70.2,2018
58,Iran,92.4,45.6,50.6,51.2,34.6,12.5,49.5,81.2,69.5,2018
59,Egypt,84.4,24.7,46.3,44.4,25.7,12.7,46.7,87.6,92.0,2018
60,Vietnam,81.1,30.1,47.8,52.4,39.4,21.3,31.1,88.1,71.2,2018
1,Denmark,199.9,118.8,77.3,79.9,82.7,7.1,30.2,22.5,81.9,2018/2
2,Finland,197.3,120.0,77.4,75.0,72.7,7.4,32.9,12.2,59.7,2018/2
3,Switzerland,194.0,130.1,77.9,72.2,120.0,10.6,29.4,22.9,79.9,2018/2
4,Australia,192.4,128.6,57.8,75.8,73.9,7.3,36.5,24.3,92.6,2018/2
5,Austria,192.0,103.8,78.5,79.2,72.3,9.8,27.5,23.1,77.0,2018/2
6,Netherlands,190.2,108.3,71.8,79.1,75.9,7.3,31.9,28.1,87.0,2018/2
7,Germany,189.1,123.3,63.8,74.9,67.9,8.5,31.0,28.2,82.4,2018/2
8,New Zealand,185.1,101.9,60.1,72.6,72.4,8.2,33.6,21.9,96.2,2018/2
9,Japan,184.2,108.4,87.3,82.2,79.9,11.7,40.9,36.0,85.3,2018/2
10,United States,182.7,129.4,53.0,68.9,69.0,3.4,34.2,32.3,77.3,2018/2
11,Iceland,181.8,93.2,76.4,63.9,112.6,6.6,27.4,15.6,68.3,2018/2
12,Norway,181.6,109.5,61.6,75.0,104.1,8.2,29.5,20.1,71.3,2018/2
13,Sweden,181.4,120.9,50.1,69.0,70.4,9.6,31.0,18.5,74.5,2018/2
14,Estonia,180.7,77.4,79.7,72.5,51.6,9.2,29.6,18.1,66.2,2018/2
15,United Arab Emirates,176.2,142.3,82.5,69.9,54.6,3.9,39.8,53.9,45.8,2018/2
16,Slovenia,175.7,81.3,75.6,63.6,52.9,9.4,28.6,25.5,78.1,2018/2
17,Spain,174.4,90.4,63.2,77.9,55.4,8.6,31.9,38.6,94.0,2018/2
18,United Kingdom,174.2,112.9,58.4,74.1,67.2,8.9,35.6,38.4,87.8,2018/2
19,Canada,173.8,116.0,60.8,70.1,64.5,6.9,35.8,27.7,56.2,2018/2
20,Qatar,167.6,142.7,85.9,72.9,62.6,4.8,34.3,68.2,36.0,2018/2
21,Portugal,164.8,60.0,66.2,69.5,50.6,11.6,30.4,31.3,97.8,2018/2
22,Belgium,164.6,99.3,58.5,80.9,74.4,7.2,35.7,49.4,86.0,2018/2
23,France,164.3,99.7,54.0,78.7,74.8,11.5,35.2,41.0,89.8,2018/2
24,Croatia,162.3,62.2,73.1,62.6,50.1,11.3,30.7,33.1,88.9,2018/2
25,Czech Republic,162.0,77.6,72.1,74.6,44.5,13.9,30.3,40.6,77.0,2018/2
26,Ireland,161.3,95.4,56.0,48.2,77.1,8.1,35.7,30.4,89.3,2018/2
27,Taiwan,159.5,102.1,78.6,85.3,59.7,17.5,32.7,63.9,82.9,2018/2
28,Cyprus,159.2,83.8,69.6,50.7,55.0,6.3,21.6,56.2,92.2,2018/2
29,Singapore,156.2,99.2,84.4,69.3,80.4,21.2,42.5,33.1,57.5,2018/2
30,Slovakia,155.4,66.5,70.0,62.9,45.4,10.0,30.9,41.3,78.6,2018/2
31,South Korea,153.7,107.7,63.1,84.3,76.6,15.3,37.7,53.4,68.4,2018/2
32,Israel,153.7,98.1,62.7,74.2,74.9,12.6,36.2,59.4,93.8,2018/2
33,Lithuania,153.4,60.6,63.1,67.3,46.9,11.9,29.0,32.0,69.3,2018/2
34,Saudi Arabia,151.8,130.4,63.1,58.9,46.6,2.7,32.7,68.4,41.4,2018/2
35,Italy,149.1,86.8,54.8,67.1,69.7,9.6,36.5,53.8,92.5,2018/2
36,Poland,147.5,75.2,64.5,62.5,38.7,10.0,32.8,52.1,75.8,2018/2
37,Romania,141.0,63.8,71.5,54.2,36.7,9.9,35.6,54.4,76.8,2018/2
38,Belarus,138.7,44.3,73.8,56.2,32.0,14.9,29.1,40.7,64.3,2018/2
39,Greece,137.5,53.2,61.2,55.5,57.6,9.7,33.6,52.4,91.8,2018/2
40,South Africa,137.1,91.4,23.9,63.3,42.1,3.9,42.4,59.2,96.0,2018/2
41,Hungary,134.5,56.7,64.1,47.8,41.3,13.0,35.3,46.3,79.2,2018/2
42,Bulgaria,131.2,57.2,59.7,53.9,37.8,8.8,30.4,64.2,82.5,2018/2
43,Argentina,130.4,61.5,38.1,70.5,36.4,13.1,42.2,54.5,98.2,2018/2
44,Turkey,127.9,53.2,59.3,69.7,35.5,9.5,45.6,69.0,92.9,2018/2
45,Bosnia And Herzegovina,126.0,52.1,55.3,54.6,36.0,12.0,27.1,62.9,80.5,2018/2
46,Chile,124.3,54.5,54.0,64.2,48.2,13.6,36.7,65.2,90.2,2018/2
47,Mexico,124.0,53.9,47.9,69.6,30.5,9.7,42.3,66.2,86.0,2018/2
48,Serbia,122.6,43.1,61.6,54.2,36.1,18.1,29.1,57.9,83.3,2018/2
49,India,121.6,77.7,56.8,68.0,23.8,10.8,47.6,75.2,66.0,2018/2
50,Malaysia,121.3,76.3,38.8,67.5,40.7,9.3,37.6,64.5,58.6,2018/2
51,Jordan,113.8,46.4,56.5,64.8,52.5,6.8,45.4,80.6,88.8,2018/2
52,Lebanon,112.2,58.9,53.4,67.0,57.2,13.1,39.5,86.7,94.7,2018/2
53,Colombia,111.1,38.0,49.2,67.0,32.6,18.7,47.4,63.1,96.7,2018/2
54,North Macedonia,108.9,41.6,60.1,59.1,31.5,13.8,31.2,81.5,76.3,2018/2
55,Indonesia,107.8,35.0,54.4,63.0,36.2,13.8,44.8,62.3,68.4,2018/2
56,Russia,107.3,52.1,56.4,57.3,36.7,11.4,47.0,63.4,48.7,2018/2
